,Mediator,Outcome,Gravidity,Age group,N,Interaction,Aim1 effect,Total effect,Total effect 95% CI,Average mediated effect,Average mediated effect 95% CI,ACME p after BH adjustment,Average direct effect,Average direct effect 95% CI
106,Low birth weight,Length-for-age Z score,Multi,>3-6 months,453,0,-0.1855,-0.203,"[-0.3904, -0.0169]",-0.0157,"[-0.0685, 0.032]",NA,-0.1873,"[-0.3713, -0.0009]"
107,Low birth weight,Length-for-age Z score,Single,>3-6 months,134,1,-0.2209,0.0435,"[-0.35, 0.4662]",0.0778,"[-0.0448, 0.3084]",NA,-0.0342,"[-0.4221, 0.3752]"
108,Low birth weight,Length-for-age Z score,Single,>3-6 months,134,0,-0.1278,-0.0197,"[-0.3867, 0.3827]",0.1099,"[-0.0468, 0.3552]",NA,-0.1296,"[-0.4524, 0.2091]"
109,Low birth weight,Length-for-age Z score,All,>6-9 months,569,1,-0.1628,-0.0993,"[-0.2739, 0.0891]",-0.0013,"[-0.0466, 0.0417]",NA,-0.098,"[-0.2707, 0.0887]"
110,Low birth weight,Length-for-age Z score,All,>6-9 months,569,0,-0.114,-0.1172,"[-0.2859, 0.0549]",-0.0009,"[-0.0434, 0.0447]",NA,-0.1164,"[-0.2784, 0.0623]"
111,Low birth weight,Length-for-age Z score,Multi,>6-9 months,442,1,-0.1822,-0.1487,"[-0.3415, 0.0656]",-0.0055,"[-0.0464, 0.0337]",NA,-0.1432,"[-0.3389, 0.0638]"
112,Low birth weight,Length-for-age Z score,Multi,>6-9 months,442,0,-0.1568,-0.1635,"[-0.3634, 0.0352]",-0.0049,"[-0.0411, 0.0318]",NA,-0.1586,"[-0.3598, 0.0433]"
113,Low birth weight,Length-for-age Z score,All,>9-12 months,558,1,-0.0499,-0.0072,"[-0.1614, 0.1576]",0.0003,"[-0.039, 0.041]",NA,-0.0075,"[-0.1598, 0.1564]"
114,Low birth weight,Length-for-age Z score,All,>9-12 months,558,0,-0.0189,-0.0204,"[-0.1743, 0.138]",0.0007,"[-0.0346, 0.0388]",NA,-0.0211,"[-0.169, 0.1419]"
115,Low birth weight,Length-for-age Z score,Multi,>9-12 months,437,1,-0.1074,-0.0838,"[-0.2614, 0.1147]",-0.0037,"[-0.0427, 0.0279]",NA,-0.08,"[-0.2557, 0.1063]"
116,Low birth weight,Length-for-age Z score,Multi,>9-12 months,437,0,-0.0906,-0.0955,"[-0.2785, 0.0841]",-0.0036,"[-0.0343, 0.0251]",NA,-0.0919,"[-0.271, 0.0904]"
117,Low birth weight,Weight-for-age Z score,All,Birth,633,1,-0.1527,-0.1284,"[-0.2966, 0.0503]",-0.0016,"[-0.1145, 0.1216]",NA,-0.1268,"[-0.2525, 0.0016]"
118,Low birth weight,Weight-for-age Z score,All,Birth,633,0,-0.1333,-0.1373,"[-0.2964, 0.0304]",-0.0027,"[-0.11, 0.1162]",NA,-0.1347,"[-0.2567, -0.0042]"
119,Low birth weight,Weight-for-age Z score,Multi,Birth,481,1,-0.1634,-0.196,"[-0.4067, -0.0097]",-0.0523,"[-0.1889, 0.0641]",NA,-0.1438,"[-0.2923, 0.0152]"
120,Low birth weight,Weight-for-age Z score,Multi,Birth,481,0,-0.1512,-0.2046,"[-0.3937, -0.0233]",-0.052,"[-0.1801, 0.0612]",NA,-0.1527,"[-0.2963, 0.0024]"
121,Low birth weight,Weight-for-age Z score,Single,Birth,152,1,-0.1691,0.1044,"[-0.2592, 0.5069]",0.1763,"[-0.0574, 0.4621]",NA,-0.0719,"[-0.3704, 0.2384]"
122,Low birth weight,Weight-for-age Z score,Single,Birth,152,0,-0.1138,0.0787,"[-0.2789, 0.4581]",0.1939,"[-0.0718, 0.4855]",NA,-0.1152,"[-0.3621, 0.1484]"
123,Low birth weight,Weight-for-age Z score,All,1 day-3 months,620,1,-0.0531,-0.0418,"[-0.2046, 0.1301]",-0.0078,"[-0.085, 0.0697]",NA,-0.0341,"[-0.1731, 0.1118]"
124,Low birth weight,Weight-for-age Z score,All,1 day-3 months,620,0,-0.0407,-0.05,"[-0.1972, 0.0986]",-0.0078,"[-0.0855, 0.0734]",NA,-0.0421,"[-0.1719, 0.0975]"
